Security,.SPXPE U Index                                                  
Start Date,1/31/1990 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
12/13/1994,14.609
12/12/1994,14.5847
12/9/1994,14.4996
12/8/1994,14.4446
12/7/1994,14.6365
12/6/1994,14.6877
12/5/1994,14.6714
12/2/1994,14.6759
12/1/1994,14.531
11/30/1994,14.6862
11/29/1994,14.7527
11/28/1994,14.7254
11/25/1994,14.6508
11/23/1994,14.5613
11/22/1994,14.5703
11/21/1994,14.8317
11/18/1994,14.9158
11/17/1994,14.9781
11/16/1994,15.0388
11/15/1994,14.9986
11/14/1994,15.0296
11/11/1994,14.9009
11/10/1994,14.9698
11/9/1994,15.0062
11/8/1994,15.0006
11/7/1994,14.9151
11/4/1994,14.8817
11/3/1994,15.0587
11/2/1994,15.0241
11/1/1994,15.0685
10/31/1994,15.2207
10/28/1994,15.2929
10/27/1994,15.0892
10/26/1994,14.9706
10/25/1994,14.9276
10/24/1994,14.9037
10/21/1994,15.0334
10/20/1994,15.1147
10/19/1994,15.2224
10/18/1994,15.1197
10/17/1994,15.1634
10/14/1994,15.1723
10/13/1994,15.1221
10/12/1994,15.0435
10/11/1994,15.055
10/10/1994,14.8337
10/7/1994,14.7182
10/6/1994,14.6111
10/5/1994,14.6425
10/4/1994,14.672
10/3/1994,14.903
9/30/1994,14.9918
9/29/1994,15.0573
9/28/1994,15.1356
9/27/1994,15.0457
9/26/1994,15.0022
9/23/1994,14.9622
9/22/1994,15.0042
9/21/1994,15.0098
9/20/1994,15.0652
9/19/1994,15.3163
9/16/1994,15.3235
9/15/1994,15.4492
9/14/1994,15.2487
9/13/1994,15.2076
9/12/1994,15.1595
9/9/1994,15.2212
9/8/1994,15.3818
9/7/1994,15.3055
9/6/1994,15.3361
9/2/1994,15.2813
9/1/1994,15.3486
8/31/1994,15.4362
8/30/1994,15.4481
8/29/1994,15.4067
8/26/1994,15.3786
8/25/1994,15.1896
8/24/1994,15.2269
8/23/1994,15.0933
8/22/1994,15.0262
