Security,.STRATOPT U Index                                               
Start Date,4/16/1999 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
9/9/2020,-5.9124
9/8/2020,-4.017
9/4/2020,-6.6811
9/3/2020,-7.4401
9/2/2020,-10.6913
9/1/2020,-9.319
8/31/2020,-8.6367
8/28/2020,-8.8372
8/27/2020,-8.2234
8/26/2020,-8.0699
8/25/2020,-7.1326
8/24/2020,-6.7986
8/21/2020,-5.8625
8/20/2020,-5.5386
8/19/2020,-5.2402
8/18/2020,-5.6576
8/17/2020,-8.1014
8/14/2020,-7.8524
8/13/2020,-7.8683
8/12/2020,-8.0569
8/11/2020,-6.77
8/10/2020,-7.5129
8/7/2020,-7.2593
8/6/2020,-7.2006
8/5/2020,-6.6041
8/4/2020,-6.0036
8/3/2020,-5.6641
7/31/2020,-4.9867
7/30/2020,-4.2579
7/29/2020,-4.6169
7/28/2020,-3.4315
7/27/2020,-4.0566
7/24/2020,-3.3471
7/23/2020,-3.9454
7/22/2020,-5.1288
7/21/2020,-4.5836
7/20/2020,-4.4233
7/17/2020,-3.6198
7/16/2020,-6.735
7/15/2020,-7.0527
7/14/2020,-6.2086
7/13/2020,-4.9512
7/10/2020,-5.8411
7/9/2020,-4.8556
7/8/2020,-5.3925
7/7/2020,-4.652
7/6/2020,-5.6835
7/2/2020,-4.1856
7/1/2020,-3.7505
6/30/2020,-3.2671
6/29/2020,-1.7765
6/26/2020,-0.334
6/25/2020,-2.7486
6/24/2020,-1.6828
6/23/2020,-4.2248
6/22/2020,-3.8122
6/19/2020,-3.1875
6/18/2020,-3.7344
6/17/2020,-3.6772
6/16/2020,-6.1362
6/15/2020,-4.3563
6/12/2020,-3.5613
6/11/2020,-2.3017
6/10/2020,-8.0605
6/9/2020,-8.5489
6/8/2020,-9.2622
6/5/2020,-8.1696
6/4/2020,-5.7625
6/3/2020,-6.08
6/2/2020,-4.7981
6/1/2020,-4.0164
5/29/2020,-3.6563
5/28/2020,-3.1927
5/27/2020,-3.3968
5/26/2020,-1.9644
5/22/2020,-0.7596
5/21/2020,-0.526
5/20/2020,-1.2993
5/19/2020,0.3442
5/18/2020,-0.7079
5/15/2020,3.3628
5/14/2020,3.7686
5/13/2020,4.9645
5/12/2020,3.1316
5/11/2020,1.0129
5/8/2020,1.0308
5/7/2020,2.7353
5/6/2020,3.9173
5/5/2020,3.192
5/4/2020,4.1249
5/1/2020,4.5674
4/30/2020,1.6333
4/29/2020,0.6971
4/28/2020,3.374
4/27/2020,2.8321
4/24/2020,4.3451
4/23/2020,5.7974
4/22/2020,5.7403
4/21/2020,8.165
4/20/2020,4.8471
4/17/2020,2.9723
4/16/2020,5.7313
4/15/2020,6.3463
4/14/2020,6.7792
4/13/2020,10.0437
4/9/2020,8.9318
4/8/2020,10.5099
4/7/2020,14.2735
4/6/2020,14.0903
4/3/2020,22.1144
4/2/2020,20.2659
4/1/2020,23.0115
3/31/2020,17.5815
3/30/2020,15.6987
3/27/2020,19.5765
3/26/2020,15.5483
3/25/2020,28.2942
3/24/2020,29.7741
3/23/2020,41.9505
3/20/2020,37.7922
3/19/2020,31.8176
3/18/2020,32.4382
3/17/2020,32.1372
3/16/2020,40.0594
3/13/2020,23.2746
3/12/2020,34.7233
3/11/2020,21.9094
3/10/2020,15.9519
3/9/2020,21.6795
3/6/2020,12.4355
3/5/2020,10.5181
3/4/2020,6.7691
3/3/2020,11.275
3/2/2020,8.1473
2/28/2020,13.1263
2/27/2020,12.1943
2/26/2020,7.2395
2/25/2020,6.8343
2/24/2020,3.5993
2/21/2020,0.1273
2/20/2020,-0.9258
2/19/2020,-0.9199
2/18/2020,-0.4537
2/14/2020,-0.7443
2/13/2020,-0.5614
2/12/2020,-0.7235
2/11/2020,-0.0819
2/10/2020,0.0868
2/7/2020,0.8201
2/6/2020,0.2756
2/5/2020,0.6091
2/4/2020,1.741
2/3/2020,3.2651
1/31/2020,4.0142
1/30/2020,2.1726
1/29/2020,2.4928
1/28/2020,2.404
1/27/2020,3.4335
1/24/2020,1.8064
1/23/2020,0.8859
1/22/2020,1.001
1/21/2020,1.0302
1/17/2020,-0.349
1/16/2020,0.0359
1/15/2020,0.8728
1/14/2020,1.0615
1/13/2020,0.9084
1/10/2020,1.6124
1/9/2020,1.3223
1/8/2020,1.9966
1/7/2020,2.4966
1/6/2020,2.2093
1/3/2020,2.5704
1/2/2020,1.8463
12/31/2019,2.6997
12/30/2019,3.0022
12/27/2019,2.4068
12/26/2019,2.4103
12/24/2019,2.9354
12/23/2019,2.9153
12/20/2019,3.0045
12/19/2019,3.5138
12/18/2019,3.9754
12/17/2019,3.9304
12/16/2019,2.7746
12/13/2019,3.5092
12/12/2019,3.5167
12/11/2019,4.4044
12/10/2019,4.708
12/9/2019,4.5932
12/6/2019,4.2624
12/5/2019,-4.9858
12/4/2019,-4.8433
12/3/2019,-4.2416
12/2/2019,-4.8772
11/29/2019,-5.6982
11/27/2019,-6.0765
11/26/2019,-5.6844
11/25/2019,-5.4773
11/22/2019,-4.7677
11/21/2019,-4.5606
11/20/2019,-4.7117
11/19/2019,-5.0696
11/18/2019,-5.1258
11/15/2019,-5.3986
11/14/2019,-4.6706
11/13/2019,-4.5908
11/12/2019,-4.5229
11/11/2019,-4.3735
11/8/2019,-4.5611
11/7/2019,-4.3168
11/6/2019,-4.0555
11/5/2019,-3.9881
11/4/2019,-4.102
11/1/2019,-3.7468
10/31/2019,-2.8167
10/30/2019,-3.1105
10/29/2019,-2.7953
10/28/2019,-2.8762
10/25/2019,-2.3341
10/24/2019,-1.9364
10/23/2019,-1.748
10/22/2019,-1.4683
10/21/2019,-1.8199
10/18/2019,-1.1453
10/17/2019,-1.5327
10/16/2019,-1.2607
10/15/2019,-1.4581
10/14/2019,-0.477
10/11/2019,-0.6151
10/10/2019,0.4721
10/9/2019,1.1167
10/8/2019,2.0373
10/7/2019,0.4495
10/4/2019,-0.0003
10/3/2019,1.4213
10/2/2019,2.2299
10/1/2019,0.3996
9/30/2019,-0.8311
9/27/2019,-0.3305
9/26/2019,-0.8604
9/25/2019,-1.1012
9/24/2019,-0.4921
9/23/2019,-1.3296
9/20/2019,-1.3392
9/19/2019,-1.8222
9/18/2019,-1.8202
9/17/2019,-1.7866
9/16/2019,-1.8332
9/13/2019,-2.1411
9/12/2019,-2.2119
9/11/2019,-1.9304
9/10/2019,-1.2214
9/9/2019,-1.1896
9/6/2019,-1.1988
9/5/2019,-1.1089
9/4/2019,0.1777
9/3/2019,1.2638
8/30/2019,0.5652
8/29/2019,0.6298
8/28/2019,1.9065
8/27/2019,2.5736
8/26/2019,2.245
8/23/2019,3.368
8/22/2019,0.686
8/21/2019,0.635
8/20/2019,1.4649
8/19/2019,0.6618
8/16/2019,1.8804
8/15/2019,3.1395
8/14/2019,3.3936
8/13/2019,0.365
8/12/2019,1.8466
8/9/2019,0.6287
8/8/2019,-0.0371
8/7/2019,1.8384
8/6/2019,1.9165
8/5/2019,3.2432
8/2/2019,0.1688
8/1/2019,-0.5607
7/31/2019,-1.4555
7/30/2019,-2.5282
7/29/2019,-2.7796
7/26/2019,-2.9367
7/25/2019,-2.2196
7/24/2019,-2.7342
