Start Date,1/10/2000,,,
End Date,,,,
,,,,
SPX Index,5 day,20 day,50 day,200 day
Dates,SMAVG,SMAVG,SMAVG,SMAVG
9/21/2000,1454.122,1500.1725,1482.5864,1445.0715
9/22/2000,1450.704,1500.2235,1483.2792,1445.5313
9/25/2000,1449.608,1498.7105,1483.462,1445.87175
9/26/2000,1443.07,1496.35,1482.7742,1446.0491
9/27/2000,1438.116,1494.371,1482.4598,1446.1821
9/28/2000,1439.964,1492.0315,1481.869,1446.32215
9/29/2000,1437.522,1489.1855,1480.9916,1446.52155
10/2/2000,1436.962,1486.206,1480.0492,1446.74575
10/3/2000,1436.812,1482.835,1478.6302,1446.90035
10/4/2000,1438.362,1478.491,1476.9646,1446.9512
10/5/2000,1433.96,1474.3275,1475.6212,1447.00795
10/6/2000,1428.456,1472.1125,1475.1478,1447.28355
10/9/2000,1421.616,1468.054,1473.9666,1447.3995
10/10/2000,1413.728,1463.827,1473.0874,1447.48675
10/11/2000,1399.782,1459.796,1472.3308,1447.5139
10/12/2000,1378.482,1456.8995,1471.5278,1447.59505
10/13/2000,1371.518,1453.588,1471.205,1447.6093
10/16/2000,1366.036,1449.3125,1470.3924,1447.4736
10/17/2000,1358.626,1444.951,1470.0352,1447.19205
10/18/2000,1354.134,1440.2025,1469.159,1446.84165
10/19/2000,1365.93,1434.1865,1467.6888,1446.3763
10/20/2000,1370.482,1426.632,1465.5104,1445.7079
10/23/2000,1374.714,1422.05,1463.9426,1445.2564
10/24/2000,1384.346,1418.5555,1462.1764,1444.78325
10/25/2000,1388.9,1413.059,1459.5894,1444.257
10/26/2000,1384.036,1407.5985,1456.776,1443.97055
10/27/2000,1380.566,1404.584,1455.0938,1443.9038
10/30/2000,1381.142,1401.9945,1453.8274,1443.8712
10/31/2000,1387.396,1399.832,1452.3062,1443.64275
11/1/2000,1398.66,1398.378,1450.4376,1443.3454
11/2/2000,1411.436,1395.2945,1448.047,1442.9771
11/3/2000,1420.858,1390.602,1445.7388,1442.63805
11/6/2000,1427.564,1387.7555,1443.409,1442.28755
11/7/2000,1428.058,1385.877,1441.5478,1441.9551
11/8/2000,1425.67,1386.024,1440.1462,1441.8264
11/9/2000,1420.034,1385.369,1438.608,1441.653
11/10/2000,1407.892,1384.971,1437.055,1441.56675
11/13/2000,1391.706,1385.856,1435.4226,1441.4934
11/14/2000,1381.922,1387.364,1433.9374,1441.6467
11/15/2000,1378.028,1389.6065,1432.293,1441.7559
11/16/2000,1372.464,1391.841,1430.2818,1441.78185
11/17/2000,1372.812,1395.359,1428.2328,1441.78975
11/20/2000,1371.084,1394.9495,1425.1988,1441.81885
11/21/2000,1363.964,1393.7815,1421.8086,1441.60285
11/22/2000,1350.474,1395.4305,1419.326,1441.4712
11/24/2000,1344.364,1397.8145,1417.2772,1441.37465
11/27/2000,1340.614,1396.9925,1414.6734,1441.1114
11/28/2000,1339.308,1395.532,1412.1378,1440.82815
11/29/2000,1338.22,1392.874,1409.205,1440.42005
11/30/2000,1336.738,1390.335,1406.5122,1439.9482
12/1/2000,1331.43,1388.208,1403.2612,1439.5015
12/4/2000,1326.63,#N/A N/A,#N/A N/A,#N/A N/A
12/5/2000,1334.72,1387.0745,1400.4792,1439.1262
12/6/2000,1336.63,1385.544,1398.1424,1438.93545
12/7/2000,1342.35,1382.4155,1395.974,1438.6662
12/8/2000,1353.282,1378.041,1393.6142,1438.3655
12/11/2000,1364.328,1372.7275,1390.8864,1438.0019
12/12/2000,1363.256,1367.073,1388.21,1437.63675
12/13/2000,1364.962,1361.987,1385.735,1437.53115
12/14/2000,1364.438,1359.2045,1384.4852,1437.653
12/15/2000,1352.89,1355.184,1382.9702,1437.60685
12/18/2000,1341.398,1351.8975,1381.3098,1437.55745
12/19/2000,1328.282,1350.385,1379.5418,1437.7401
12/20/2000,1309.232,1351.096,1378.4156,1437.90085
12/21/2000,1296.018,1352.092,1377.1146,1437.92465
12/22/2000,1294.782,1350.944,1375.7852,1437.82865
12/26/2000,1293.272,1348.5,1373.9174,1437.6245
12/27/2000,1297.936,1345.4915,1371.4348,1437.1394
12/28/2000,1311.832,1343.2425,1369.7098,1436.7967
12/29/2000,1320.916,1341.3915,1367.7812,1436.5466
1/2/2001,1316.376,1337.261,1365.3356,1436.0368
1/3/2001,1322.85,1334.886,1363.541,1435.40265
1/4/2001,1323.734,1333.096,1363.0648,1434.95715
1/5/2001,1316.56,#N/A N/A,#N/A N/A,#N/A N/A
1/8/2001,1311.676,1331.407,1361.8852,1434.615
1/9/2001,1315.182,1331.0485,1360.9712,1434.46385
1/10/2001,1308.324,1330.664,1360.6562,1434.1742
1/11/2001,1307.02,1330.9305,1360.2192,1433.48325
1/12/2001,1311.014,#N/A N/A,#N/A N/A,#N/A N/A
1/16/2001,1317.172,1329.3325,1358.1094,1432.57725
1/17/2001,1322.906,1330.462,1357.122,1432.0319
1/18/2001,1329.846,1328.302,1355.8732,1431.22925
1/19/2001,1332.99,1325.6465,1353.8776,1430.2178
1/22/2001,1337.906,1323.262,1352.4968,1429.06035
1/23/2001,1344.656,1319.8075,1351.224,1427.92705
1/24/2001,1351.622,1316.461,1349.8978,1426.8741
1/25/2001,1353.53,1314.243,1348.461,1425.96955
1/26/2001,1356.012,1312.1595,1346.2394,1425.01855
1/29/2001,1360.266,#N/A N/A,#N/A N/A,#N/A N/A
1/30/2001,1362.932,1311.4455,1344.348,1424.2122
1/31/2001,1363.274,1312.3115,1342.371,1423.36665
2/1/2001,1366.466,1313.573,1340.7966,1422.57665
2/2/2001,1365.37,1315.42,1339.0036,1421.8157
2/5/2001,1363.398,1319.328,1337.2242,1421.09335
2/6/2001,1359.104,1323.605,1336.2466,1420.38865
2/7/2001,1354.08,1326.5215,1335.5298,1419.6284
2/8/2001,1345.892,1328.6375,1335.3604,1418.89365
2/9/2001,1338.95,1329.939,1335.4342,1418.16545
2/12/2001,1334.15,1331.4365,1335.0586,1417.65045
2/13/2001,1327.458,1334.109,1334.737,1417.31655
2/14/2001,1322.464,1338.246,1334.6108,1417.3638
2/15/2001,1321.28,1339.5415,1334.7258,1417.22395
2/16/2001,1318.634,1340.348,1334.8628,1416.76325
2/20/2001,1308.36,1343.146,1335.002,1416.39745
2/21/2001,1295.654,1345.966,1335.6,1415.98605
2/22/2001,1283.034,1347.9705,1335.5824,1415.5412
2/23/2001,1266.884,1348.9335,1335.2536,1414.81665
2/26/2001,1260.108,1348.3305,1334.827,1414.0855
2/27/2001,1255.908,1348.93,1334.595,1413.41245
2/28/2001,1252.842,1348.5375,1334.672,1412.7443
3/1/2001,1250.524,1347.86,1334.6858,1411.98265
