Security,.SPXCARRY U Index                                               
Start Date,5/18/2001 0:00
End Date,5/14/2021 0:00
Period,W
,
Date,PX_LAST
7/7/2017,3.8186
6/30/2017,4.4051
6/23/2017,2.0126
6/16/2017,2.9845
6/9/2017,3.3738
6/2/2017,1.7619
5/26/2017,1.6658
5/19/2017,3.3222
5/12/2017,4.186
5/5/2017,4.0285
4/28/2017,3.222
4/21/2017,7.5059
4/14/2017,9.7388
4/7/2017,5.4294
3/31/2017,4.7774
3/24/2017,5.3703
3/17/2017,4.6787
3/10/2017,5.0082
3/3/2017,4.0462
2/24/2017,5.7941
2/17/2017,5.7321
2/10/2017,4.5335
2/3/2017,4.2775
1/27/2017,4.2678
1/20/2017,4.94
1/13/2017,3.7221
1/6/2017,3.5206
12/30/2016,6.443
12/23/2016,4.2702
12/16/2016,2.5614
12/9/2016,1.7565
12/2/2016,4.55
11/25/2016,2.8857
11/18/2016,2.7464
11/11/2016,4.104
11/4/2016,14.6296
10/28/2016,7.2958
10/21/2016,3.0911
10/14/2016,2.8161
10/7/2016,0.6019
9/30/2016,0.5152
9/23/2016,0.4463
9/16/2016,4.2221
9/9/2016,8.3024
9/2/2016,6.6825
8/26/2016,8.2678
8/19/2016,5.6994
8/12/2016,4.2224
8/5/2016,-0.5909
7/29/2016,-4.992
7/22/2016,-5.1441
7/15/2016,-4.7148
7/8/2016,-4.0932
7/1/2016,-2.3166
6/24/2016,11.1974
6/17/2016,9.5629
6/10/2016,6.8007
6/3/2016,3.2226
5/27/2016,2.7881
5/20/2016,4.9611
5/13/2016,4.1971
5/6/2016,4.6281
4/29/2016,6.2618
4/22/2016,4.0808
4/15/2016,2.9612
4/8/2016,2.9679
4/1/2016,0.6542
3/25/2016,0.2169
3/18/2016,-1.8849
3/11/2016,-1.6736
3/4/2016,-3.1517
2/26/2016,-1.2305
2/19/2016,-1.754
2/12/2016,2.806
2/5/2016,1.7964
1/29/2016,-1.9325
1/22/2016,1.2511
1/15/2016,6.12
1/8/2016,8.3822
1/1/2016,1.8807
12/25/2015,-1.5751
12/18/2015,3.5283
12/11/2015,9.2234
12/4/2015,0.7051
11/27/2015,2.676
11/20/2015,1.9931
11/13/2015,7.7031
11/6/2015,1.7443
10/30/2015,-0.7532
10/23/2015,-2.3257
10/16/2015,-2.9683
10/9/2015,-4.1043
10/2/2015,-6.6498
9/25/2015,-4.2196
9/18/2015,-5.8576
9/11/2015,-4.1263
9/4/2015,1.6247
8/28/2015,2.3069
8/21/2015,13.3152
8/14/2015,1.2031
8/7/2015,0.8332
7/31/2015,-0.4878
7/24/2015,1.362
7/17/2015,-0.6436
7/10/2015,4.6798
7/3/2015,5.7099
6/26/2015,5.0951
6/19/2015,4.7647
6/12/2015,3.7212
6/5/2015,4.0621
5/29/2015,3.5302
5/22/2015,2.1689
5/15/2015,2.1742
5/8/2015,2.0487
5/1/2015,2.2022
4/24/2015,1.1534
4/17/2015,1.1413
4/10/2015,-0.5391
4/3/2015,1.8993
3/27/2015,3.0815
3/20/2015,1.1855
3/13/2015,3.9461
3/6/2015,2.5676
2/27/2015,0.4162
2/20/2015,0.2423
2/13/2015,-1.8934
2/6/2015,0.9603
1/30/2015,4.3611
1/23/2015,-0.418
1/16/2015,3.8022
1/9/2015,1.0792
1/2/2015,4.0391
12/26/2014,1.1683
12/19/2014,3.1931
12/12/2014,12.1133
12/5/2014,5.2049
11/28/2014,4.2299
11/21/2014,2.9232
11/14/2014,-2.3972
11/7/2014,-3.5164
10/31/2014,-3.7012
10/24/2014,-1.1645
10/17/2014,6.818
10/10/2014,7.4648
10/3/2014,4.6288
9/26/2014,5.9281
9/19/2014,6.1315
9/12/2014,5.6379
9/5/2014,2.4831
8/29/2014,2.2614
8/22/2014,0.6588
8/15/2014,2.3608
8/8/2014,4.9245
8/1/2014,7.2804
7/25/2014,4.9044
7/18/2014,4.1259
7/11/2014,5.6527
7/4/2014,4.5072
6/27/2014,4.9271
6/20/2014,3.5311
6/13/2014,4.3146
6/6/2014,3.3001
5/30/2014,3.5209
5/23/2014,2.8282
5/16/2014,0.6649
5/9/2014,0.9112
5/2/2014,0.9046
4/25/2014,1.3799
4/18/2014,0.4217
4/11/2014,4.0838
4/4/2014,3.7853
3/28/2014,4.9866
3/21/2014,5.495
3/14/2014,5.3168
3/7/2014,1.1741
2/28/2014,-0.0951
2/21/2014,-0.1831
2/14/2014,-1.1636
2/7/2014,0.893
1/31/2014,6.9905
1/24/2014,6.6813
1/17/2014,2.2442
1/10/2014,3.2229
1/3/2014,4.6593
12/27/2013,3.6003
12/20/2013,4.7339
12/13/2013,6.3536
12/6/2013,4.8784
11/29/2013,5.309
11/22/2013,2.5393
11/15/2013,0.3782
11/8/2013,0.2017
11/1/2013,1.5804
10/25/2013,0.7751
10/18/2013,0.6841
10/11/2013,3.9756
10/4/2013,6.6398
9/27/2013,5.6672
9/20/2013,2.4201
9/13/2013,4.2548
9/6/2013,6.0349
8/30/2013,7.6364
8/23/2013,5.6347
8/16/2013,5.6244
8/9/2013,5.6928
8/2/2013,3.0009
7/26/2013,-0.1275
7/19/2013,-1.7422
7/12/2013,-1.8062
7/5/2013,-0.9555
6/28/2013,1.2975
6/21/2013,3.6471
6/14/2013,4.7872
6/7/2013,3.2768
5/31/2013,5.9921
5/24/2013,2.9345
5/17/2013,-0.9641
5/10/2013,-0.9285
5/3/2013,-0.8451
4/26/2013,0.2659
4/19/2013,1.9448
4/12/2013,3.3366
4/5/2013,3.3849
3/29/2013,1.647
3/22/2013,2.83
3/15/2013,0.281
3/8/2013,1.1656
3/1/2013,4.1835
2/22/2013,5.4094
2/15/2013,5.179
2/8/2013,1.1654
2/1/2013,1.2972
1/25/2013,0.3646
1/18/2013,-0.0805
1/11/2013,0.7211
1/4/2013,0.6526
12/28/2012,11.3229
12/21/2012,6.2062
12/14/2012,3.892
12/7/2012,2.3922
11/30/2012,0.9656
11/23/2012,-0.0967
11/16/2012,3.0574
11/9/2012,5.4103
11/2/2012,6.3284
10/26/2012,7.4445
10/19/2012,6.2101
10/12/2012,5.3452
10/5/2012,3.9865
9/28/2012,5.0322
9/21/2012,4.4112
9/14/2012,5.0461
9/7/2012,4.1749
8/31/2012,6.1017
8/24/2012,3.0326
8/17/2012,0.4625
8/10/2012,1.2408
8/3/2012,-0.6954
7/27/2012,-0.3129
7/20/2012,-0.1482
7/13/2012,-0.5227
7/6/2012,-1.9546
6/29/2012,-2.0628
6/22/2012,0.0352
6/15/2012,4.6011
6/8/2012,5.5527
6/1/2012,12.1653
5/25/2012,9.0447
5/18/2012,11.1994
5/11/2012,6.2043
5/4/2012,4.8181
4/27/2012,2.8912
4/20/2012,3.8689
4/13/2012,5.5667
4/6/2012,5.5309
3/30/2012,5.0437
3/23/2012,4.5954
3/16/2012,4.4328
3/9/2012,7.3408
3/2/2012,9.0641
2/24/2012,8.7507
2/17/2012,9.1427
2/10/2012,11.7511
2/3/2012,6.7272
1/27/2012,5.3696
1/20/2012,1.3208
1/13/2012,4.0342
1/6/2012,-1.6131
12/30/2011,-0.6366
12/23/2011,-4.1278
12/16/2011,-2.0871
12/9/2011,-2.718
12/2/2011,-3.1204
11/25/2011,6.0642
11/18/2011,4.2249
11/11/2011,0.6635
11/4/2011,-0.0694
10/28/2011,-6.4367
10/21/2011,2.099
10/14/2011,-1.7709
10/7/2011,5.9903
9/30/2011,13.1368
9/23/2011,9.8509
9/16/2011,-11.6767
9/9/2011,-6.31
9/2/2011,-9.4834
8/26/2011,-6.8232
8/19/2011,3.0315
8/12/2011,-1.2038
8/5/2011,9.8992
7/29/2011,9.589
7/22/2011,2.294
7/15/2011,4.3574
7/8/2011,-0.1609
7/1/2011,-0.2876
6/24/2011,6.5765
6/17/2011,7.6315
6/10/2011,5.9952
6/3/2011,5.4716
5/27/2011,4.8846
5/20/2011,6.7641
5/13/2011,7.1097
5/6/2011,9.3341
4/29/2011,5.4203
4/22/2011,2.2593
4/15/2011,2.3404
4/8/2011,2.9332
4/1/2011,0.7465
3/25/2011,1.4347
3/18/2011,8.7147
3/11/2011,5.5477
3/4/2011,5.1667
2/25/2011,6.9674
2/18/2011,6.5071
2/11/2011,5.3512
2/4/2011,5.8005
1/28/2011,11.1783
1/21/2011,11.424
1/14/2011,9.3258
1/7/2011,8.1727
12/31/2010,6.9126
12/24/2010,3.0302
12/17/2010,2.3791
12/10/2010,2.8402
12/3/2010,3.2948
11/26/2010,8.1558
11/19/2010,5.4667
11/12/2010,8.4459
11/5/2010,6.8792
10/29/2010,8.8468
10/22/2010,5.7926
10/15/2010,6.487
10/8/2010,4.6226
10/1/2010,5.9455
9/24/2010,4.1092
9/17/2010,3.6502
9/10/2010,2.6169
9/3/2010,2.3137
8/27/2010,6.2932
8/20/2010,5.9681
8/13/2010,5.4132
8/6/2010,0.3688
7/30/2010,1.95
7/23/2010,1.1598
7/16/2010,3.2938
7/9/2010,-0.3604
7/2/2010,4.7524
6/25/2010,1.5037
6/18/2010,-6.4301
6/11/2010,-3.5601
6/4/2010,3.8768
5/28/2010,3.1743
5/21/2010,12.8557
